"id","cond","y","x"
1,"A",NA,-2.19155013602443
1,"B",-0.752154593092565,-2.19155013602443
1,"C",-0.692975328518636,-2.19155013602443
1,"A",NA,-2.19155013602443
1,"B",0.712774817536145,-2.19155013602443
1,"C",-1.02606934460771,-2.19155013602443
1,"A",-0.654184670638464,-2.19155013602443
1,"B",NA,-2.19155013602443
1,"C",-0.335352718886333,-2.19155013602443
1,"A",NA,-2.19155013602443
1,"B",-0.482925678067724,-2.19155013602443
1,"C",-0.488304294133334,-2.19155013602443
1,"A",NA,-2.19155013602443
1,"B",-0.470922783915141,-2.19155013602443
1,"C",NA,-2.19155013602443
2,"A",-0.972871787769595,-0.85632995004082
2,"B",-2.0696746121381,-0.85632995004082
2,"C",NA,-0.85632995004082
2,"A",-0.430852316353223,-0.85632995004082
2,"B",-0.77677368030042,-0.85632995004082
2,"C",0.209874782045319,-0.85632995004082
2,"A",-1.25092579283195,-0.85632995004082
2,"B",-0.430085535416238,-0.85632995004082
2,"C",0.0534131063526543,-0.85632995004082
2,"A",NA,-0.85632995004082
2,"B",-1.92222650277909,-0.85632995004082
2,"C",-0.765967580542881,-0.85632995004082
2,"A",-0.673123576010342,-0.85632995004082
2,"B",-0.711084413397891,-0.85632995004082
2,"C",-0.63365291902899,-0.85632995004082
3,"A",0.50600172536056,0.277732079089712
3,"B",0.216841422408736,0.277732079089712
3,"C",-0.873844495153215,0.277732079089712
3,"A",0.741851532591326,0.277732079089712
3,"B",1.50135896137496,0.277732079089712
3,"C",NA,0.277732079089712
3,"A",0.152576610592803,0.277732079089712
3,"B",-0.0143778244876464,0.277732079089712
3,"C",-1.07749748740038,0.277732079089712
3,"A",NA,0.277732079089712
3,"B",-0.701530262420526,0.277732079089712
3,"C",0.209059023748338,0.277732079089712
3,"A",0.433613690387824,0.277732079089712
3,"B",0.722994848982328,0.277732079089712
3,"C",0.238466330275589,0.277732079089712
4,"A",-0.371919387892009,-0.763268163314952
4,"B",0.298580856219388,-0.763268163314952
4,"C",NA,-0.763268163314952
4,"A",-0.445761348602131,-0.763268163314952
4,"B",1.10535425748467,-0.763268163314952
