"class","school","x","y","z","w"
1,1,0.317792006239622,-0.26055513117654,0.455788269788404,1.32962928585855
1,1,-0.251454226793944,NA,0.455788269788404,1.32962928585855
1,1,-0.648181924295557,NA,0.455788269788404,1.32962928585855
1,1,NA,0.552188146253113,0.455788269788404,1.32962928585855
1,1,0.69550643484236,-0.224485934077771,0.455788269788404,1.32962928585855
1,1,-0.73522702297427,-0.174147355563493,0.455788269788404,1.32962928585855
1,1,-0.64552344694421,0.105645319458559,0.455788269788404,1.32962928585855
1,1,-0.694782633225779,NA,0.455788269788404,1.32962928585855
1,1,-0.109833650921581,-0.512893674335775,0.455788269788404,1.32962928585855
1,1,-0.0206048499276293,-0.243410873602477,0.455788269788404,1.32962928585855
2,1,-0.320234933451668,NA,NA,1.32962928585855
2,1,0.0694961515142498,0.547773458257732,NA,1.32962928585855
2,1,NA,NA,NA,1.32962928585855
2,1,-0.287569771069769,0.610469179509674,NA,1.32962928585855
2,1,-0.321588339758717,-0.263890953446273,NA,1.32962928585855
2,1,0.218820961777993,NA,NA,1.32962928585855
2,1,-0.129939671192159,0.408163673526371,NA,1.32962928585855
2,1,0.328550435287834,0.471923524852739,NA,1.32962928585855
2,1,0.495010772632979,NA,NA,1.32962928585855
2,1,NA,NA,NA,1.32962928585855
3,1,0.1865111424876,NA,-1.3726980338878,1.32962928585855
3,1,1.59562056527279,1.39401461783571,-1.3726980338878,1.32962928585855
3,1,0.873087906941538,0.57370116498966,-1.3726980338878,1.32962928585855
3,1,0.567839610507166,1.36803039415924,-1.3726980338878,1.32962928585855
3,1,-0.140716337601402,NA,-1.3726980338878,1.32962928585855
3,1,1.1689933297841,1.0834122392631,-1.3726980338878,1.32962928585855
3,1,1.65432627589268,0.879055487645991,-1.3726980338878,1.32962928585855
3,1,0.697824765442324,0.72759475564074,-1.3726980338878,1.32962928585855
3,1,0.871587405072682,1.21771181499024,-1.3726980338878,1.32962928585855
3,1,1.77091296654208,1.12174394688662,-1.3726980338878,1.32962928585855
4,1,-0.473409142945842,-0.129783819912855,0.741696797970045,1.32962928585855
4,1,1.40441690650097,NA,0.741696797970045,1.32962928585855
4,1,-0.155299237572363,-0.00663300928298641,0.741696797970045,1.32962928585855
4,1,0.185250421694244,0.591039585240326,0.741696797970045,1.32962928585855
4,1,-0.0981876759863851,NA,0.741696797970045,1.32962928585855
4,1,0.773580161000314,0.348023928281501,0.741696797970045,1.32962928585855
4,1,0.579428261199102,0.213466487574692,0.741696797970045,1.32962928585855
4,1,0.789608650944478,NA,0.741696797970045,1.32962928585855
4,1,-0.414030956740739,0.235361169594222,0.741696797970045,1.32962928585855
4,1,0.818262153663927,-1.04342047717193,0.741696797970045,1.32962928585855
5,1,0.385116932506527,0.360052876171663,-1.03767850169137,1.32962928585855
5,1,0.644850572576017,-0.458780831105908,-1.03767850169137,1.32962928585855
5,1,-0.754654330781051,NA,-1.03767850169137,1.32962928585855
5,1,-0.325280006716535,1.01320679346203,-1.03767850169137,1.32962928585855
5,1,0.590867850100202,0.783109495065411,-1.03767850169137,1.32962928585855
5,1,-0.219445825172053,NA,-1.03767850169137,1.32962928585855
5,1,-0.447328311791535,NA,-1.03767850169137,1.32962928585855
5,1,0.539266542110008,1.11694598268028,-1.03767850169137,1.32962928585855
5,1,-1.24240499923369,NA,-1.03767850169137,1.32962928585855
5,1,-1.24802476829468,-0.19070334661554,-1.03767850169137,1.32962928585855
6,2,-0.495133878307755,-0.921767785245434,0.689758266283511,-0.854254409905118
6,2,0.305707253834627,-0.549112543006511,0.689758266283511,-0.854254409905118
6,2,-0.525798159067979,NA,0.689758266283511,-0.854254409905118
6,2,-0.896050886599346,-0.466523044161249,0.689758266283511,-0.854254409905118
6,2,-0.0945916901926724,-0.662630729203013,0.689758266283511,-0.854254409905118
6,2,-1.54385575108076,NA,0.689758266283511,-0.854254409905118
6,2,-0.852162065680514,NA,0.689758266283511,-0.854254409905118
6,2,-0.172838338202636,NA,0.689758266283511,-0.854254409905118
6,2,1.17474266803602,-0.468528283648293,0.689758266283511,-0.854254409905118
6,2,-0.674905374809168,1.17693559364865,0.689758266283511,-0.854254409905118
7,2,0.884960202874135,NA,0.419535935827733,-0.854254409905118
7,2,0.660218870972321,0.741364732384603,0.419535935827733,-0.854254409905118
7,2,-0.0946716099801315,1.53278989871536,0.419535935827733,-0.854254409905118
7,2,0.393098651926298,0.523503923702108,0.419535935827733,-0.854254409905118
7,2,NA,0.528457613701517,0.419535935827733,-0.854254409905118
7,2,1.55011560902682,NA,0.419535935827733,-0.854254409905118
7,2,0.909729297670745,NA,0.419535935827733,-0.854254409905118
7,2,0.676712735416719,NA,0.419535935827733,-0.854254409905118
7,2,0.702313290800336,NA,0.419535935827733,-0.854254409905118
7,2,1.39033491429328,1.42790125932766,0.419535935827733,-0.854254409905118
8,2,NA,0.834314403671301,0.00725724223181014,-0.854254409905118
8,2,0.871889782119231,NA,0.00725724223181014,-0.854254409905118
8,2,0.350703882561261,1.68617528034638,0.00725724223181014,-0.854254409905118
8,2,-0.667792143223537,0.205316103515631,0.00725724223181014,-0.854254409905118
8,2,0.0837294460283708,1.06967780707221,0.00725724223181014,-0.854254409905118
8,2,1.17609247307697,0.362478830485014,0.00725724223181014,-0.854254409905118
8,2,NA,0.987680376078922,0.00725724223181014,-0.854254409905118
8,2,-0.356541485536682,0.971932955564046,0.00725724223181014,-0.854254409905118
